id,symbol,image_location
1272,flag_malta,0
1273,flag_marshall_islands,0
1274,flag_mauritania,0
1275,flag_mauritius,0
1276,flag_mexico,0
1277,flag_micronesia,0
1278,flag_midway_islands,0
1279,flag_moldova,0
1280,flag_monaco,0
1281,flag_mongolia,0
1282,flag_montenegro,0
1283,flag_morocco,0
1284,flag_mozambique,0
1285,flag_myanmar,0
1286,flag_namibia,0
1287,flag_nato,0
1288,flag_nauru,0
1289,flag_nepal,0
1290,flag_new_caledonia,0
1291,flag_new_zealand,0
1292,flag_nicaragua,0
1293,flag_niger,0
1294,flag_nigeria,0
1295,flag_niue,0
1296,flag_north_korea,0
1297,flag_northern_cyprus,0
1298,flag_northern_marianas,0
1299,flag_norway,0
1300,flag_olympic_movement,0
1301,flag_oman,0
1302,flag_pakistan,0
1303,flag_palau,0
1304,flag_palestine,0
1305,flag_panama,0
1306,flag_papua_new_guinea,0
1307,flag_paraguay,0
1308,flag_peru,0
1309,flag_philippines,0
1310,flag_pitcairn_islands,0
1311,flag_poland,0
1312,flag_portugal,0
1313,flag_puerto_rico,0
1314,flag_qatar,0
1315,flag_rass_al_khaimah_sharjah,0
1316,flag_red_cross,0
1317,flag_romania,0
1318,flag_russian_federation,0
1319,flag_rwanda,0
1320,flag_s_georgia_sandwich_isles,0
1321,flag_sami,0
1322,flag_samoa,0
1323,flag_san_marino,0
1324,flag_sao_tome_principe,0
1325,flag_sark,0
1326,flag_saudi_arabia,0
1327,flag_scotland,0
1328,flag_seborga,0
1329,flag_senegal,0
1330,flag_serbia,0
1331,flag_seychelles,0
1332,flag_sierra_leone,0
1333,flag_singapore,0
1334,flag_slovakia,0
1335,flag_slovenia,0
